Date,Log Return
2018/7/27,-0.016771485
2018/7/30,-0.005618332
2018/7/31,0.001998971
2018/8/1,0.057240265
2018/8/2,0.02881182
2018/8/3,0.002888695
2018/8/6,0.005179007
2018/8/7,-0.009418966
2018/8/8,0.0006759
2018/8/9,0.007834049
2018/8/10,-0.002983157
2018/8/13,0.006436119
2018/8/14,0.00420438
2018/8/15,0.002333407
2018/8/16,0.014543862
2018/8/17,0.019772985
2018/8/20,-0.009791355
2018/8/21,-0.001951181
2018/8/22,4.65E-05
2018/8/23,0.002043986
2018/8/24,0.003104358
2018/8/27,0.008200792
2018/8/28,0.00804327
2018/8/29,0.014819139
2018/8/30,0.009151623
2018/8/31,0.011487856
2018/9/4,0.003201761
2018/9/5,-0.006546216
2018/9/6,-0.016757189
2018/9/7,-0.008100734
2018/9/10,-0.013511709
2018/9/11,0.024968679
2018/9/12,-0.012496774
2018/9/13,0.023868103
2018/9/14,-0.011416113
2018/9/17,-0.026986908
2018/9/18,0.001650868
2018/9/19,0.000595567
2018/9/20,0.007573016
2018/9/21,-0.010829674
2018/9/24,0.014277845
2018/9/25,0.006320913
2018/9/26,-0.007998177
2018/9/27,0.020343223
2018/9/28,0.003505901
2018/10/1,0.006710724
2018/10/2,0.008849234
2018/10/3,0.012095107
2018/10/4,-0.017737375
2018/10/5,-0.016361911
2018/10/8,-0.002321035
2018/10/9,0.013758419
2018/10/10,-0.047433509
2018/10/11,-0.008867017
2018/10/12,0.035096063
2018/10/15,-0.021617656
2018/10/16,0.021797669
2018/10/17,-0.004330651
2018/10/18,-0.023651261
2018/10/19,0.015115338
2018/10/22,0.006091679
2018/10/23,0.009382489
2018/10/24,-0.03490379
2018/10/25,0.0216615
2018/10/26,-0.016051583
2018/10/29,-0.018948791
2018/10/30,0.00498182
2018/10/31,0.025732819
2018/11/1,0.015235539
2018/11/2,-0.068632763
2018/11/5,-0.028799188
2018/11/6,0.010756106
2018/11/7,0.029877399
2018/11/8,-0.003495252
2018/11/9,-0.01946983
2018/11/12,-0.051687199
2018/11/13,-0.010041419
2018/11/14,-0.028654169
2018/11/15,0.024379387
2018/11/16,0.011014857
2018/11/19,-0.040438767
2018/11/20,-0.048957082
2018/11/21,-0.001130721
2018/11/23,-0.025727097
2018/11/26,0.013433266
2018/11/27,-0.002178574
2018/11/28,0.03773162
2018/11/29,-0.007711545
2018/11/30,-0.005416733
2018/12/3,0.034345281
2018/12/4,-0.044985383
2018/12/6,-0.011212107
2018/12/7,-0.036308471
2018/12/10,0.006566468
2018/12/11,-0.005735904
2018/12/12,0.002783361
2018/12/13,0.010880851
2018/12/14,-0.032520665
2018/12/17,-0.009349917
2018/12/18,0.012908867
2018/12/19,-0.031688438
2018/12/20,-0.025558447
2018/12/21,-0.0396725
2018/12/24,-0.026214699
2018/12/26,0.068052612
2018/12/27,-0.006511076
2018/12/28,0.000512386
2018/12/31,0.009619313
2019/1/2,0.0011397
2019/1/3,-0.104924013
2019/1/4,0.041803537
2019/1/7,-0.002228705
2019/1/8,0.018883804
2019/1/9,0.016839096
2019/1/10,0.003191297
2019/1/11,-0.00986675
2019/1/14,-0.01515126
2019/1/15,0.020260078
2019/1/16,0.012142882
2019/1/17,0.005919891
2019/1/18,0.006140401
2019/1/22,-0.02270191
2019/1/23,0.004036211
2019/1/24,-0.007957824
2019/1/25,0.032599813
2019/1/28,-0.009297451
2019/1/29,-0.010419049
2019/1/30,0.066101269
2019/1/31,0.007175634
2019/2/1,0.000480428
2019/2/4,0.028009003
2019/2/5,0.016964802
2019/2/6,0.000344241
2019/2/7,-0.019121093
2019/2/8,0.001174271
2019/2/11,-0.005767299
2019/2/12,0.008579806
2019/2/13,-0.00416314
2019/2/14,0.003636717
2019/2/15,-0.002227248
2019/2/19,0.002988054
2019/2/20,0.006414908
2019/2/21,-0.005654495
2019/2/22,0.011103586
2019/2/25,0.007258211
2019/2/26,0.000573761
2019/2/27,0.003092614
2019/2/28,-0.009884481
2019/3/1,0.010456415
2019/3/4,0.005016633
2019/3/5,-0.001821155
2019/3/6,-0.005770668
2019/3/7,-0.011642026
2019/3/8,0.002373845
2019/3/11,0.034055632
2019/3/12,0.011172716
2019/3/13,0.004412646
2019/3/14,0.01105511
2019/3/15,0.012924236
2019/3/18,0.010156633
2019/3/19,-0.007956141
2019/3/20,0.008700665
2019/3/21,0.036168111
2019/3/22,-0.020925582
2019/3/25,-0.012165058
2019/3/26,-0.010385281
2019/3/27,0.008953881
2019/3/28,0.001325568
2019/3/29,0.006496382
2019/4/1,0.006768327
2019/4/2,0.014432219
2019/4/3,0.006831569
2019/4/4,0.00173885
2019/4/5,0.006672083
2019/4/8,0.015613455
2019/4/9,-0.003003015
2019/4/10,0.005598406
2019/4/11,-0.008359007
2019/4/12,-0.00040238
2019/4/15,0.001808836
2019/4/16,0.000100089
2019/4/17,0.01928581
2019/4/18,0.00358738
2019/4/22,0.003281321
2019/4/23,0.014320305
2019/4/24,-0.001543538
2019/4/25,-0.009116518
2019/4/26,-0.004785518
2019/4/29,0.001516205
2019/4/30,-0.019443999
2019/5/1,0.047919023
2019/5/2,-0.006529009
2019/5/3,0.01235455
2019/5/6,-0.015563044
2019/5/7,-0.027327167
2019/5/8,0.000197292
2019/5/9,-0.010802168
2019/5/10,-0.013950468
2019/5/13,-0.059877015
2019/5/14,0.015706466
2019/5/15,0.011907906
2019/5/16,-0.004409339
2019/5/17,-0.005698061
2019/5/20,-0.031769255
2019/5/21,0.018989628
2019/5/22,-0.020684185
2019/5/23,-0.017216847
2019/5/24,-0.003848239
2019/5/28,-0.004143356
2019/5/29,-0.004780334
2019/5/30,0.005173072
2019/5/31,-0.018281738
2019/6/3,-0.010161277
2019/6/4,0.035930237
2019/6/5,0.016014662
2019/6/6,0.014574954
2019/6/7,0.026268747
2019/6/10,0.012698548
2019/6/11,0.011513127
2019/6/12,-0.003187679
2019/6/13,-0.000206085
2019/6/14,-0.007288726
2019/6/17,0.005948709
2019/6/18,0.023246174
2019/6/19,-0.002926867
2019/6/20,0.008003384
2019/6/21,-0.003415083
2019/6/24,-0.001006716
2019/6/25,-0.015273412
2019/6/26,0.021398468
2019/6/27,-0.000300383
2019/6/28,-0.009153821
2019/7/1,0.018174504
2019/7/2,0.005837551
2019/7/3,0.008252908
2019/7/5,-0.000880926
2019/7/8,-0.020829465
2019/7/9,0.006080857
2019/7/10,0.009840023
2019/7/11,-0.007308902
2019/7/12,0.007653491
2019/7/15,0.009351187
2019/7/16,-0.00346621
2019/7/17,-0.005639048
2019/7/18,0.011295812
2019/7/19,-0.015040183
2019/7/22,0.022596605
2019/7/23,0.007787432
2019/7/24,-0.000814365
2019/7/25,-0.007938379
2019/7/26,0.003471711
2019/7/29,0.009295227
2019/7/30,-0.004301649
2019/7/31,0.020199133
2019/8/1,-0.021876838
2019/8/2,-0.021385234
2019/8/5,-0.053767718
2019/8/6,0.01875341
2019/8/7,0.010301923
2019/8/8,0.021816364
2019/8/9,-0.008274471
2019/8/12,-0.002540671
2019/8/13,0.041476075
2019/8/14,-0.030217047
2019/8/15,-0.004993745
2019/8/16,0.023320528
2019/8/19,0.018472417
2019/8/20,4.76E-05
2019/8/21,0.010780217
2019/8/22,-0.000846652
2019/8/23,-0.047323
