Date,Close/Last,Volume,Open,High,Low
09/27/2023,$149.90,3705567,$151.50,$151.50,$148.97
09/26/2023,$151.12,2332196,$151.75,$152.96,$150.16
09/25/2023,$153.23,2434379,$152.21,$153.31,$151.7504
09/22/2023,$153.08,2380681,$155.00,$155.04,$152.92
09/21/2023,$154.71,2712330,$155.83,$156.865,$154.44
09/20/2023,$157.23,1969736,$160.00,$160.20,$156.88
09/19/2023,$159.35,2230747,$159.05,$159.865,$158.45
09/18/2023,$159.63,2413606,$163.79,$163.95,$159.35
09/15/2023,$163.75,7273639,$162.03,$164.33,$161.815
09/14/2023,$161.78,3209986,$160.57,$161.96,$160.00
09/13/2023,$159.14,2976903,$159.34,$160.70,$158.62
09/12/2023,$158.50,2659239,$157.65,$159.72,$157.45
09/11/2023,$157.83,2611054,$158.37,$159.16,$157.397
09/08/2023,$157.43,1931613,$157.02,$157.79,$156.71
09/07/2023,$156.78,2617385,$157.26,$157.63,$156.07
09/06/2023,$158.00,2949366,$159.07,$159.84,$156.86
09/05/2023,$160.00,4150965,$160.11,$161.86,$159.35
09/01/2023,$159.62,2195658,$159.07,$160.16,$158.71
08/31/2023,$157.99,3653888,$160.66,$160.9355,$157.735
08/30/2023,$160.17,3039990,$160.27,$161.86,$160.12
08/29/2023,$160.24,2175785,$158.89,$160.79,$158.30
08/28/2023,$159.19,2509920,$158.98,$160.91,$158.76
08/25/2023,$158.32,2969215,$158.44,$159.64,$157.3294
08/24/2023,$157.79,2468593,$159.01,$161.42,$157.74
08/23/2023,$159.44,2042493,$159.33,$160.08,$158.70
08/22/2023,$159.08,2256108,$160.76,$161.26,$158.61
08/21/2023,$160.88,2070605,$160.88,$161.6465,$160.08
08/18/2023,$160.23,2139654,$159.23,$160.80,$158.94
08/17/2023,$160.58,2473106,$161.91,$162.606,$160.38
08/16/2023,$160.76,1994856,$161.27,$162.96,$160.64
08/15/2023,$161.91,2447597,$164.39,$164.8105,$161.70
08/14/2023,$166.08,1827413,$164.33,$166.4837,$163.77
08/11/2023,$165.27,2102666,$162.67,$165.78,$162.60
08/10/2023,$163.54,2556028,$164.71,$166.50,$162.72
08/09/2023,$163.82,2445231,$165.94,$166.29,$163.50
08/08/2023,$165.87,2102997,$164.90,$165.99,$163.585
08/07/2023,$166.96,2027204,$166.85,$167.33,$166.14
08/04/2023,$165.41,2256250,$166.53,$168.10,$165.06
08/03/2023,$166.41,1710129,$165.84,$166.66,$165.03
08/02/2023,$166.75,2236917,$167.28,$167.75,$166.045
08/01/2023,$169.65,2341377,$167.95,$169.805,$167.26
07/31/2023,$168.88,3346504,$166.51,$168.99,$166.51
07/28/2023,$165.43,2925999,$165.29,$166.58,$164.64
07/27/2023,$163.60,3944153,$168.53,$168.54,$163.17
07/26/2023,$167.75,2351961,$166.17,$168.43,$166.0601
07/25/2023,$166.50,3286740,$167.35,$168.95,$166.42
07/24/2023,$167.79,4979939,$167.59,$169.00,$166.93
07/21/2023,$170.22,9102138,$172.17,$173.34,$167.4201
07/20/2023,$177.11,3940706,$175.56,$177.22,$174.05
07/19/2023,$177.12,2749120,$178.25,$178.787,$176.31
07/18/2023,$178.04,2686999,$175.19,$178.44,$174.43
07/17/2023,$175.39,2144714,$172.94,$176.26,$172.835
07/14/2023,$173.39,1829557,$175.36,$175.66,$172.52
07/13/2023,$174.24,2080403,$175.42,$176.10,$173.90
07/12/2023,$174.33,2305815,$177.00,$177.91,$174.31
07/11/2023,$174.64,2282393,$172.50,$175.58,$172.32
07/10/2023,$171.71,1865586,$169.86,$171.83,$169.45
07/07/2023,$169.80,2145508,$169.13,$171.57,$168.6701
07/06/2023,$170.94,3158089,$171.74,$172.31,$168.23
07/05/2023,$175.57,2487901,$174.38,$176.57,$174.04
07/03/2023,$175.44,1700165,$174.30,$176.325,$173.70
06/30/2023,$174.20,3371290,$174.24,$175.09,$173.33
06/29/2023,$172.08,2899253,$170.58,$172.31,$170.32
06/28/2023,$169.78,2289046,$167.26,$169.87,$167.195
06/27/2023,$168.19,2434106,$166.35,$168.38,$166.18
06/26/2023,$167.11,2507095,$168.53,$170.50,$167.06
06/23/2023,$168.07,4214383,$166.00,$168.60,$165.74
06/22/2023,$168.26,2755943,$167.28,$168.50,$165.225
06/21/2023,$167.92,2813682,$169.10,$169.10,$166.95
06/20/2023,$169.41,2865881,$171.00,$171.22,$168.33
06/16/2023,$172.21,4616883,$174.20,$174.5778,$171.55
